STATIONS_ID;MESS_DATUM;QN_3;   F;   D;eor
       5705;2018010100;   10;   6.9; 250;eor
       5705;2018010101;   10;   9.7; 260;eor
       5705;2018010102;   10;   9.7; 270;eor
       5705;2018010103;   10;   9.0; 260;eor
       5705;2018010104;   10;   9.0; 270;eor
       5705;2018010105;   10;   8.6; 270;eor
       5705;2018010106;   10;   9.5; 260;eor
       5705;2018010107;   10;   9.7; 270;eor
       5705;2018010108;   10;   9.7; 280;eor
       5705;2018010109;   10;   9.8; 270;eor
       5705;2018010110;   10;  10.2; 270;eor
       5705;2018010111;   10;   9.4; 270;eor
       5705;2018010112;   10;   9.3; 260;eor
       5705;2018010113;   10;   8.6; 250;eor
       5705;2018010114;   10;   7.3; 260;eor
       5705;2018010115;   10;   5.5; 250;eor
       5705;2018010116;   10;   4.7; 190;eor
       5705;2018010117;   10;   4.9; 180;eor
       5705;2018010118;   10;   5.6; 180;eor
       5705;2018010119;   10;   6.7; 190;eor
       5705;2018010120;   10;   5.6; 220;eor
       5705;2018010121;   10;   5.7; 210;eor
       5705;2018010122;   10;   6.2; 230;eor
       5705;2018010123;   10;   7.1; 240;eor
       5705;2018010200;   10;   8.0; 260;eor
       5705;2018010201;   10;   9.0; 290;eor
       5705;2018010202;   10;  10.3; 290;eor
       5705;2018010203;   10;  11.5; 290;eor
       5705;2018010204;   10;   9.9; 290;eor
       5705;2018010205;   10;   8.3; 280;eor
       5705;2018010206;   10;   6.5; 280;eor
       5705;2018010207;   10;   5.5; 270;eor
       5705;2018010208;   10;   4.7; 260;eor
       5705;2018010209;   10;   3.9; 260;eor
       5705;2018010210;   10;   7.0; 290;eor
       5705;2018010211;   10;   6.8; 290;eor
       5705;2018010212;   10;   6.7; 290;eor
       5705;2018010213;   10;   7.3; 290;eor
       5705;2018010214;   10;   7.7; 290;eor
       5705;2018010215;   10;   7.0; 280;eor
       5705;2018010216;   10;   4.1; 290;eor
       5705;2018010217;   10;   4.5; 260;eor
       5705;2018010218;   10;   4.8; 260;eor
       5705;2018010219;   10;   4.0; 230;eor
       5705;2018010220;   10;   4.0; 200;eor
       5705;2018010221;   10;   4.4; 210;eor
       5705;2018010222;   10;   4.6; 240;eor
       5705;2018010223;   10;   4.9; 230;eor
       5705;2018010300;   10;   5.6; 200;eor
       5705;2018010301;   10;   5.2; 210;eor
       5705;2018010302;   10;   4.6; 220;eor
       5705;2018010303;   10;   5.7; 210;eor
       5705;2018010304;   10;   6.4; 210;eor
       5705;2018010305;   10;   5.8; 210;eor
       5705;2018010306;   10;   9.6; 230;eor
       5705;2018010307;   10;  10.8; 230;eor
       5705;2018010308;   10;   9.4; 290;eor
       5705;2018010309;   10;   7.2; 300;eor
       5705;2018010310;   10;   7.7; 260;eor
       5705;2018010311;   10;  10.5; 280;eor
       5705;2018010312;   10;  12.0; 300;eor
       5705;2018010313;   10;   9.3; 300;eor
       5705;2018010314;   10;  13.3; 290;eor
       5705;2018010315;   10;  12.3; 290;eor
       5705;2018010316;   10;  11.5; 280;eor
       5705;2018010317;   10;  11.0; 280;eor
       5705;2018010318;   10;  11.3; 290;eor
       5705;2018010319;   10;  10.0; 270;eor
       5705;2018010320;   10;   9.6; 280;eor
       5705;2018010321;   10;  10.8; 280;eor
       5705;2018010322;   10;  12.6; 290;eor
       5705;2018010323;   10;  12.4; 280;eor
       5705;2018010400;   10;  11.4; 280;eor
       5705;2018010401;   10;  11.1; 280;eor
       5705;2018010402;   10;  10.8; 280;eor
       5705;2018010403;   10;   9.7; 280;eor
       5705;2018010404;   10;   9.2; 280;eor
       5705;2018010405;   10;   8.8; 270;eor
       5705;2018010406;   10;   8.2; 280;eor
       5705;2018010407;   10;   9.0; 280;eor
       5705;2018010408;   10;   6.8; 280;eor
       5705;2018010409;   10;   4.2; 240;eor
       5705;2018010410;   10;   5.4; 260;eor
       5705;2018010411;   10;   4.4; 240;eor
       5705;2018010412;   10;   4.9; 220;eor
       5705;2018010413;   10;   4.3; 210;eor
       5705;2018010414;   10;   4.0; 190;eor
       5705;2018010415;   10;   4.3; 180;eor
       5705;2018010416;   10;   4.4; 180;eor
       5705;2018010417;   10;   3.0; 200;eor
       5705;2018010418;   10;   3.4; 240;eor
       5705;2018010419;   10;   4.6; 260;eor
       5705;2018010420;   10;   4.6; 270;eor
       5705;2018010421;   10;   9.3; 290;eor
       5705;2018010422;   10;  10.6; 280;eor
       5705;2018010423;   10;  10.0; 290;eor
       5705;2018010500;   10;   9.7; 290;eor
       5705;2018010501;   10;   6.9; 290;eor
       5705;2018010502;   10;   6.2; 280;eor
       5705;2018010503;   10;   5.3; 260;eor
       5705;2018010504;   10;   7.0; 270;eor
       5705;2018010505;   10;   7.2; 270;eor
       5705;2018010506;   10;   9.8; 270;eor
       5705;2018010507;   10;  10.5; 270;eor
       5705;2018010508;   10;   8.4; 260;eor
       5705;2018010509;   10;   9.3; 270;eor
       5705;2018010510;   10;   9.2; 270;eor
       5705;2018010511;   10;   8.0; 270;eor
       5705;2018010512;   10;   7.4; 270;eor
       5705;2018010513;   10;   6.6; 270;eor
       5705;2018010514;   10;   6.1; 250;eor
       5705;2018010515;   10;   4.4; 250;eor
       5705;2018010516;   10;   4.6; 260;eor
       5705;2018010517;   10;   3.3; 250;eor
       5705;2018010518;   10;   1.9; 220;eor
       5705;2018010519;   10;   2.1; 190;eor
       5705;2018010520;   10;   2.7; 190;eor
       5705;2018010521;   10;   2.1; 210;eor
       5705;2018010522;   10;   3.2; 230;eor
       5705;2018010523;   10;   4.5; 250;eor
       5705;2018010600;   10;   4.4; 240;eor
       5705;2018010601;   10;   5.1; 240;eor
       5705;2018010602;   10;   3.5; 240;eor
       5705;2018010603;   10;   2.9; 240;eor
       5705;2018010604;   10;   2.4; 230;eor
       5705;2018010605;   10;   2.4; 220;eor
       5705;2018010606;   10;   2.3; 190;eor
       5705;2018010607;   10;   1.7; 180;eor
       5705;2018010608;   10;   2.1; 160;eor
       5705;2018010609;   10;   2.0; 160;eor
       5705;2018010610;   10;   0.9; 200;eor
       5705;2018010611;   10;   0.7; 160;eor
       5705;2018010612;   10;   1.0; 150;eor
       5705;2018010613;   10;   1.3; 130;eor
       5705;2018010614;   10;   1.4; 130;eor
       5705;2018010615;   10;   1.7;  70;eor
       5705;2018010616;   10;   1.6;  60;eor
       5705;2018010617;   10;   2.4;  70;eor
       5705;2018010618;   10;   3.1;  70;eor
       5705;2018010619;   10;   1.9;  70;eor
       5705;2018010620;   10;   1.2;  60;eor
       5705;2018010621;   10;   1.6;  80;eor
       5705;2018010622;   10;   1.9;  50;eor
       5705;2018010623;   10;   3.0;  60;eor
       5705;2018010700;   10;   3.8;  60;eor
       5705;2018010701;   10;   3.4;  50;eor
       5705;2018010702;   10;   4.7;  70;eor
       5705;2018010703;   10;   4.9;  80;eor
       5705;2018010704;   10;   4.8;  70;eor
       5705;2018010705;   10;   4.6;  70;eor
       5705;2018010706;   10;   5.5;  70;eor
       5705;2018010707;   10;   5.8;  70;eor
       5705;2018010708;   10;   6.3;  80;eor
       5705;2018010709;   10;   8.1;  80;eor
       5705;2018010710;   10;   8.0;  80;eor
       5705;2018010711;   10;   6.9;  80;eor
       5705;2018010712;   10;   6.6;  80;eor
       5705;2018010713;   10;   7.4;  80;eor
       5705;2018010714;   10;   7.8;  80;eor
       5705;2018010715;   10;   7.5;  80;eor
       5705;2018010716;   10;   6.8;  80;eor
